Item Details,,,,,,,Pickup Details,,,,,,,,,Dropoff Details,,,,,,,,,Extra,,
Description *,Weight *,Length,Width,Height,Quantity,Service Type,Address Line 1 *,Address Line 2,Country,Zipcode,From *,To *,Contact Name,Contact Phone,Contact Company,Address Line 1 *,Address Line 2,Country,Zipcode,From *,To *,Contact Name,Contact Phone,Contact Company,External Item ID 1 *,External Item ID 2,External Item ID 3
1 package,5,50,40,40,1,sameday,"1h 07 168 shopping mall building 2 binondo Manila,Metro Manila~Manila,Binondo,Barangay 293",Metro Manila-Manila,,,18/06/2021 00:00,18/06/2021 00:30,Aimee cheng,9164728333,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 01:00,18/06/2021 01:30,Lazada Tipas Cross-dock,9178058015,,YOJ-0-1623984455767,,
1 package,5,50,40,40,1,sameday,"34 Mayor Tanyag Ave., South Signal Village, Taguig City",Metro Manila-Taguig,,,18/06/2021 02:00,18/06/2021 02:30,Moeder Home International Corp.,9088916273,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 03:00,18/06/2021 03:30,Lazada Tipas Cross-dock,9178058015,,YOJ-1-1623984455767,,
1 package,5,50,40,40,1,sameday,"3rd floor 748 Caballeros st. Binondo Manila,Metro Manila~Manila,San Nicolas,Barangay 282",Metro Manila-Manila,,,18/06/2021 04:00,18/06/2021 04:30,well-come shop,9176117789,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 05:00,18/06/2021 05:30,Lazada Tipas Cross-dock,9178058015,,YOJ-2-1623984455767,,
1 package,5,50,40,40,1,sameday,"281 H. San Fernando St. Binondo Manila,Metro Manila~Manila,San Nicolas,Barangay 284",Metro Manila-Manila,,,18/06/2021 06:00,18/06/2021 06:30,Style Loft,9175428859,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 07:00,18/06/2021 07:30,Lazada Tipas Cross-dock,9178058015,,YOJ-3-1623984455767,,
1 package,5,50,40,40,1,sameday,"281 H. San Fernando St. Binondo Manila,Metro Manila~Manila,San Nicolas,Barangay 284",Metro Manila-Manila,,,18/06/2021 08:00,18/06/2021 08:30,Style Loft,9175428859,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 09:00,18/06/2021 09:30,Lazada Tipas Cross-dock,9178058015,,YOJ-4-1623984455767,,
1 package,5,50,40,40,1,sameday,"TA202 Gardenville,Metro Manila~Manila,Santa Mesa,Barangay 606",Metro Manila~Manila,,,18/06/2021 10:00,18/06/2021 10:30,Beetro,9178394412,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 11:00,18/06/2021 11:30,Lazada Tipas Cross-dock,9178058015,,YOJ-5-1623984455767,,
1 package,5,50,40,40,1,sameday,35A mc Arthur Highway,Metro Manila~Malabon,,,18/06/2021 12:00,18/06/2021 12:30,Malachi,9494435961,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 13:00,18/06/2021 13:30,Lazada Tipas Cross-dock,9178058015,,YOJ-6-1623984455767,,
1 package,5,50,40,40,1,sameday,"Park Lane Tower ROOM 601, 1107 Mayhaligue st, Tondo,Manila,Metro Manila~Manila,Tondo I / Ii,Barangay 238",Metro Manila-Manila,,,18/06/2021 14:00,18/06/2021 14:30,Maxbazaar,9158867637,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 15:00,18/06/2021 15:30,Lazada Tipas Cross-dock,9178058015,,YOJ-7-1623984455767,,
1 package,5,50,40,40,1,sameday,"Unit 904 Torre Lorenzo condominium,2587 p ocampo st for Taft avenue,Metro Manila~Manila,Malate,Barangay 719",Metro Manila-Manila,,,18/06/2021 16:00,18/06/2021 16:30,BV JEANS,9177854525,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 17:00,18/06/2021 17:30,Lazada Tipas Cross-dock,9178058015,,YOJ-8-1623984455767,,
1 package,5,50,40,40,1,sameday,"962 d castro st valenzuela city,Metro Manila~Valenzuela,Valenzuela City,Malanday",Metro Manila-Valenzuela,,,18/06/2021 18:00,18/06/2021 18:30,Gift Toys 168,9175784777,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 19:00,18/06/2021 19:30,Lazada Tipas Cross-dock,9178058015,,YOJ-9-1623984455767,,
